기준일,시간대구분,구분,총생활인구수
20240121,0,종로구,201500.9861
20240121,0,중구,160672.3621
20240121,0,용산구,259227.8623
20240121,0,성동구,313654.9299
20240121,0,광진구,365002.7422
20240121,0,동대문구,337319.9196
20240121,0,중랑구,373981.059
20240121,0,성북구,430252.0378
20240121,0,강북구,295936.6125
20240121,0,도봉구,277401.2994
20240121,0,노원구,511985.1701
20240121,0,은평구,466123.2365
20240121,0,서대문구,339054.3064
20240121,0,마포구,424747.9822
20240121,0,양천구,385636.3227
20240121,0,강서구,543898.1802
20240121,0,구로구,390209.7134
20240121,0,금천구,200728.8969
20240121,0,영등포구,416845.6842
20240121,0,동작구,381976.0594
20240121,0,관악구,493885.8541
20240121,0,서초구,457841.1007
20240121,0,강남구,662187.3444
20240121,0,송파구,723449.572
20240121,0,강동구,531162.5817
20240121,1,종로구,200012.8303
20240121,1,중구,158917.2397
20240121,1,용산구,258252.2735
20240121,1,성동구,315157.9806
20240121,1,광진구,366405.2607
20240121,1,동대문구,339783.9803
20240121,1,중랑구,377099.6663
20240121,1,성북구,431580.6983
20240121,1,강북구,297790.5893
20240121,1,도봉구,281148.2262
20240121,1,노원구,514684.8205
20240121,1,은평구,469622.7672
20240121,1,서대문구,339895.656
20240121,1,마포구,423520.5098
20240121,1,양천구,387718.0549
20240121,1,강서구,546977.3935
20240121,1,구로구,391879.4064
20240121,1,금천구,202135.8284
20240121,1,영등포구,417037.7912
20240121,1,동작구,384359.0149
20240121,1,관악구,496923.899
20240121,1,서초구,454982.4909
20240121,1,강남구,658234.1899
20240121,1,송파구,725635.9815
20240121,1,강동구,533881.4732
20240121,2,종로구,199142.4501
20240121,2,중구,158310.5861
20240121,2,용산구,257241.4477
20240121,2,성동구,316543.2424
20240121,2,광진구,368107.9608
20240121,2,동대문구,341946.6796
20240121,2,중랑구,379542.1538
20240121,2,성북구,433367.2811
20240121,2,강북구,299797.6811
20240121,2,도봉구,284077.9232
20240121,2,노원구,517514.2993
20240121,2,은평구,473141.2224
20240121,2,서대문구,341132.12
20240121,2,마포구,422445.5111
20240121,2,양천구,389147.1461
20240121,2,강서구,549182.4709
20240121,2,구로구,393059.1887
20240121,2,금천구,203476.9028
20240121,2,영등포구,416973.6647
20240121,2,동작구,386516.5595
20240121,2,관악구,499892.112
20240121,2,서초구,453413.2633
20240121,2,강남구,655291.1731
20240121,2,송파구,728990.262
20240121,2,강동구,537199.628
20240121,3,종로구,198919.0604
20240121,3,중구,158254.7668
20240121,3,용산구,256510.7761
20240121,3,성동구,318382.8063
20240121,3,광진구,369667.774
20240121,3,동대문구,344322.4125
20240121,3,중랑구,382276.6058
20240121,3,성북구,435610.5267
20240121,3,강북구,301229.0281
20240121,3,도봉구,286670.8469
20240121,3,노원구,520277.3314
20240121,3,은평구,476120.2179
20240121,3,서대문구,343363.5072
20240121,3,마포구,420163.9985
20240121,3,양천구,392063.928
20240121,3,강서구,551067.1764
20240121,3,구로구,393718.5457
20240121,3,금천구,204793.2252
20240121,3,영등포구,418596.3829
20240121,3,동작구,388663.6007
20240121,3,관악구,501922.0448
20240121,3,서초구,452215.1156
20240121,3,강남구,652314.4321
20240121,3,송파구,731694.5448
20240121,3,강동구,539663.1379
20240121,4,종로구,200001.2859
20240121,4,중구,158799.5804
20240121,4,용산구,256330.6956
20240121,4,성동구,320824.4918
20240121,4,광진구,371076.1428
20240121,4,동대문구,346248.3181
20240121,4,중랑구,383838.5452
20240121,4,성북구,437430.6219
20240121,4,강북구,303488.7582
20240121,4,도봉구,288754.8303
20240121,4,노원구,521402.9216
20240121,4,은평구,478121.0641
20240121,4,서대문구,344249.3952
20240121,4,마포구,420387.136
20240121,4,양천구,393310.6334
20240121,4,강서구,553814.7837
20240121,4,구로구,395122.0844
20240121,4,금천구,204950.5372
20240121,4,영등포구,419804.6886
20240121,4,동작구,389166.3395
20240121,4,관악구,504369.4323
20240121,4,서초구,452547.8921
20240121,4,강남구,650252.9039
20240121,4,송파구,735153.4312
20240121,4,강동구,542258.091
20240121,5,종로구,201054.3169
20240121,5,중구,160485.3812
20240121,5,용산구,256757.7229
20240121,5,성동구,322955.9921
20240121,5,광진구,372060.5187
20240121,5,동대문구,348192.4859
20240121,5,중랑구,384526.595
20240121,5,성북구,439001.3112
20240121,5,강북구,302629.5367
20240121,5,도봉구,290118.5638
20240121,5,노원구,523117.4834
20240121,5,은평구,478944.8597
20240121,5,서대문구,346345.3768
20240121,5,마포구,417416.6066
20240121,5,양천구,393398.5268
20240121,5,강서구,558941.9499
20240121,5,구로구,395776.3788
20240121,5,금천구,205184.5196
20240121,5,영등포구,422867.4183
20240121,5,동작구,391472.6656
20240121,5,관악구,504334.725
20240121,5,서초구,454825.3322
20240121,5,강남구,649237.928
20240121,5,송파구,738228.6503
20240121,5,강동구,543436.5165
20240121,6,종로구,203605.8507
20240121,6,중구,165511.6375
20240121,6,용산구,258035.2328
20240121,6,성동구,324271.9773
20240121,6,광진구,372626.1807
20240121,6,동대문구,350661.4488
20240121,6,중랑구,384426.1388
20240121,6,성북구,438392.517
20240121,6,강북구,300877.7949
20240121,6,도봉구,289961.5994
20240121,6,노원구,522978.7739
20240121,6,은평구,478348.4906
20240121,6,서대문구,346887.0917
20240121,6,마포구,414468.8836
20240121,6,양천구,392626.1363
20240121,6,강서구,561288.4482
20240121,6,구로구,394203.7017
20240121,6,금천구,205423.0081
20240121,6,영등포구,427372.5158
20240121,6,동작구,391283.5304
20240121,6,관악구,503085.5956
20240121,6,서초구,460923.4287
20240121,6,강남구,653874.2283
20240121,6,송파구,740140.4965
20240121,6,강동구,543819.0632
20240121,7,종로구,206400.8764
20240121,7,중구,170425.2065
20240121,7,용산구,260225.4369
20240121,7,성동구,324909.1802
20240121,7,광진구,369858.4036
20240121,7,동대문구,349762.4047
20240121,7,중랑구,380122.2157
20240121,7,성북구,436177.9582
20240121,7,강북구,298211.5427
20240121,7,도봉구,288725.4488
20240121,7,노원구,519100.518
20240121,7,은평구,473350.8528
20240121,7,서대문구,345624.923
20240121,7,마포구,413096.9294
20240121,7,양천구,390179.2461
20240121,7,강서구,556724.8066
20240121,7,구로구,392730.5645
20240121,7,금천구,204368.028
20240121,7,영등포구,434522.1538
