년도,구분,CCTV
2018,종로구,1322
2018,중구,1174
2018,용산구,1888
2018,성동구,2390
2018,광진구,1586
2018,동대문구,1775
2018,중랑구,1203
2018,성북구,2542
2018,강북구,1159
2018,도봉구,679
2018,노원구,1577
2018,은평구,2669
2018,서대문구,1764
2018,마포구,1703
2018,양천구,2655
2018,강서구,1386
2018,구로구,2819
2018,금천구,1563
2018,영등포구,2055
2018,동작구,1690
2018,관악구,3247
2018,서초구,2582
2018,강남구,4834
2018,송파구,1364
2018,강동구,1596
2019,종로구,1327
2019,중구,1242
2019,용산구,1915
2019,성동구,2833
2019,광진구,2308
2019,동대문구,2061
2019,중랑구,2250
2019,성북구,3238
2019,강북구,1656
2019,도봉구,835
2019,노원구,1763
2019,은평구,3141
2019,서대문구,2100
2019,마포구,2011
2019,양천구,2928
2019,강서구,1858
2019,구로구,3074
2019,금천구,1894
2019,영등포구,2093
2019,동작구,1904
2019,관악구,3388
2019,서초구,2938
2019,강남구,5459
2019,송파구,2052
2019,강동구,1871
2020,종로구,1510
2020,중구,1482
2020,용산구,2058
2020,성동구,3162
2020,광진구,2481
2020,동대문구,2166
2020,중랑구,3165
2020,성북구,3440
2020,강북구,2337
2020,도봉구,1189
2020,노원구,2034
2020,은평구,3431
2020,서대문구,2499
2020,마포구,2268
2020,양천구,3136
2020,강서구,2346
2020,구로구,3455
2020,금천구,2247
2020,영등포구,3250
2020,동작구,2155
2020,관악구,3652
2020,서초구,3175
2020,강남구,5796
2020,송파구,2372
2020,강동구,2475
2021,종로구,1573
2021,중구,1911
2021,용산구,2321
2021,성동구,3519
2021,광진구,3111
2021,동대문구,2471
2021,중랑구,3592
2021,성북구,3815
2021,강북구,2960
2021,도봉구,1684
2021,노원구,2171
2021,은평구,3822
2021,서대문구,2591
2021,마포구,2372
2021,양천구,3393
2021,강서구,2637
2021,구로구,3842
2021,금천구,2276
2021,영등포구,3508
2021,동작구,2181
2021,관악구,3833
2021,서초구,3442
2021,강남구,6143
2021,송파구,2520
2021,강동구,2720
2022,종로구,1812
2022,중구,2026
2022,용산구,2531
2022,성동구,3627
2022,광진구,3370
2022,동대문구,2592
2022,중랑구,3856
2022,성북구,4014
2022,강북구,3184
2022,도봉구,1994
2022,노원구,2284
2022,은평구,4103
2022,서대문구,2928
2022,마포구,2500
2022,양천구,3627
2022,강서구,3151
2022,구로구,4013
2022,금천구,2498
2022,영등포구,3896
2022,동작구,2404
2022,관악구,4029
2022,서초구,3180
2022,강남구,6495
2022,송파구,2805
2022,강동구,3086
2023,종로구,1808
2023,중구,2026
2023,용산구,2647
2023,성동구,3643
2023,광진구,3359
2023,동대문구,2592
2023,중랑구,3856
2023,성북구,4129
2023,강북구,3184
2023,도봉구,2120
2023,노원구,2281
2023,은평구,4103
2023,서대문구,3006
2023,마포구,2500
2023,양천구,3609
2023,강서구,3209
2023,구로구,4122
2023,금천구,2730
2023,영등포구,3964
2023,동작구,2402
2023,관악구,4245
2023,서초구,3180
2023,강남구,6495
2023,송파구,2821
2023,강동구,3088
