¡æ∑˘,X,Y
¿Ø»ÔΩ√º≥,127.0477167,37.4786464
¿Ø»ÔΩ√º≥,127.0471351,37.4784181
¿Ø»ÔΩ√º≥,127.0461777,37.4781559
¿Ø»ÔΩ√º≥,127.0256481,37.5176032
¿Ø»ÔΩ√º≥,127.0361531,37.5173607
¿Ø»ÔΩ√º≥,127.0360032,37.5173543
¿Ø»ÔΩ√º≥,127.0405099,37.5181788
¿Ø»ÔΩ√º≥,127.0395045,37.5176148
¿Ø»ÔΩ√º≥,127.0389781,37.5174482
¿Ø»ÔΩ√º≥,127.0363608,37.516953
¿Ø»ÔΩ√º≥,127.0363716,37.5170999
¿Ø»ÔΩ√º≥,127.0368657,37.5169178
¿Ø»ÔΩ√º≥,127.0373217,37.5170164
¿Ø»ÔΩ√º≥,127.0361371,37.5164703
¿Ø»ÔΩ√º≥,127.0374414,37.5166424
¿Ø»ÔΩ√º≥,127.0375999,37.5167958
¿Ø»ÔΩ√º≥,127.023878,37.5112831
¿Ø»ÔΩ√º≥,127.0228211,37.5088972
¿Ø»ÔΩ√º≥,127.0230975,37.5097945
¿Ø»ÔΩ√º≥,127.0236483,37.5086301
¿Ø»ÔΩ√º≥,127.0237021,37.5085182
¿Ø»ÔΩ√º≥,127.0235049,37.5075072
¿Ø»ÔΩ√º≥,127.023425,37.5083531
¿Ø»ÔΩ√º≥,127.0242834,37.5065205
¿Ø»ÔΩ√º≥,127.0248148,37.5058658
¿Ø»ÔΩ√º≥,127.0265039,37.5070945
¿Ø»ÔΩ√º≥,127.0327508,37.5090402
¿Ø»ÔΩ√º≥,127.0270335,37.5060908
¿Ø»ÔΩ√º≥,127.0248089,37.5054259
¿Ø»ÔΩ√º≥,127.0245167,37.5054266
¿Ø»ÔΩ√º≥,127.029525,37.5063121
¿Ø»ÔΩ√º≥,127.0324616,37.5072105
¿Ø»ÔΩ√º≥,127.0347757,37.5146249
¿Ø»ÔΩ√º≥,127.0349603,37.5142217
¿Ø»ÔΩ√º≥,127.0361044,37.510129
¿Ø»ÔΩ√º≥,127.0364875,37.5091799
¿Ø»ÔΩ√º≥,127.0361508,37.5153552
¿Ø»ÔΩ√º≥,127.0389321,37.5162428
¿Ø»ÔΩ√º≥,127.0390257,37.5161532
¿Ø»ÔΩ√º≥,127.040972,37.5159465
¿Ø»ÔΩ√º≥,127.0358761,37.5139853
¿Ø»ÔΩ√º≥,127.0432215,37.5112224
¿Ø»ÔΩ√º≥,127.0292601,37.5165872
¿Ø»ÔΩ√º≥,127.0232271,37.5171918
¿Ø»ÔΩ√º≥,127.0297094,37.5142874
¿Ø»ÔΩ√º≥,127.033535,37.5200806
¿Ø»ÔΩ√º≥,127.0338609,37.5201839
¿Ø»ÔΩ√º≥,127.0282214,37.5180852
¿Ø»ÔΩ√º≥,127.0314855,37.5148149
¿Ø»ÔΩ√º≥,127.0323757,37.5151523
¿Ø»ÔΩ√º≥,127.0333431,37.5150611
¿Ø»ÔΩ√º≥,127.0349839,37.5211171
¿Ø»ÔΩ√º≥,127.0351484,37.5211696
¿Ø»ÔΩ√º≥,127.036317,37.5211387
¿Ø»ÔΩ√º≥,127.0353227,37.5206852
¿Ø»ÔΩ√º≥,127.035164,37.5206347
¿Ø»ÔΩ√º≥,127.0360609,37.5210544
¿Ø»ÔΩ√º≥,127.0610138,37.4978277
¿Ø»ÔΩ√º≥,127.0613516,37.4971742
¿Ø»ÔΩ√º≥,127.0508294,37.503546
¿Ø»ÔΩ√º≥,127.0506839,37.5030598
¿Ø»ÔΩ√º≥,127.0520992,37.4987628
¿Ø»ÔΩ√º≥,127.0539399,37.4979673
¿Ø»ÔΩ√º≥,127.0588285,37.4985911
¿Ø»ÔΩ√º≥,127.0588374,37.5063516
¿Ø»ÔΩ√º≥,127.0587081,37.5066024
¿Ø»ÔΩ√º≥,127.0624131,37.5072365
¿Ø»ÔΩ√º≥,127.0629265,37.5074344
¿Ø»ÔΩ√º≥,127.0579875,37.5055131
¿Ø»ÔΩ√º≥,127.0581595,37.5045384
¿Ø»ÔΩ√º≥,127.0593737,37.5031198
¿Ø»ÔΩ√º≥,127.0654678,37.5083134
¿Ø»ÔΩ√º≥,127.0423669,37.4850952
¿Ø»ÔΩ√º≥,127.0436968,37.4852791
¿Ø»ÔΩ√º≥,127.0433432,37.4820289
¿Ø»ÔΩ√º≥,127.0434865,37.4814816
¿Ø»ÔΩ√º≥,127.0331314,37.4895166
¿Ø»ÔΩ√º≥,127.0328348,37.4894283
¿Ø»ÔΩ√º≥,127.0444165,37.5097281
¿Ø»ÔΩ√º≥,127.0444579,37.5094148
¿Ø»ÔΩ√º≥,127.0548723,37.5093516
¿Ø»ÔΩ√º≥,127.0532749,37.5067469
¿Ø»ÔΩ√º≥,127.0533263,37.5072017
¿Ø»ÔΩ√º≥,127.0577611,37.5102216
¿Ø»ÔΩ√º≥,127.057952,37.5093539
¿Ø»ÔΩ√º≥,127.0572186,37.5088078
¿Ø»ÔΩ√º≥,127.0580004,37.5087251
¿Ø»ÔΩ√º≥,127.0616549,37.514077
¿Ø»ÔΩ√º≥,127.0649085,37.5138937
¿Ø»ÔΩ√º≥,127.0457546,37.5111381
¿Ø»ÔΩ√º≥,127.0513941,37.5187993
