새로운시간대,구분,기준일,시간대구분,총생활인구수
밤,강남구,20240111.0,11.5,703919.1720154762
밤,강동구,20240111.0,11.5,530647.4920553571
밤,강북구,20240111.0,11.5,292106.3334083333
밤,강서구,20240111.0,11.5,547921.083247619
밤,관악구,20240111.0,11.5,493038.1769922619
밤,광진구,20240111.0,11.5,369523.5261505952
밤,구로구,20240111.0,11.5,392529.7655375
밤,금천구,20240111.0,11.5,205657.9561583333
밤,노원구,20240111.0,11.5,508272.1518244048
밤,도봉구,20240111.0,11.5,276009.3374732143
밤,동대문구,20240111.0,11.5,340254.46017916664
밤,동작구,20240111.0,11.5,386405.7474952381
밤,마포구,20240111.0,11.5,430798.7014095238
밤,서대문구,20240111.0,11.5,344159.3689071429
밤,서초구,20240111.0,11.5,487787.0582107143
밤,성동구,20240111.0,11.5,324168.356264881
밤,성북구,20240111.0,11.5,429244.35201904766
밤,송파구,20240111.0,11.5,741666.8342988095
밤,양천구,20240111.0,11.5,389043.38176011905
밤,영등포구,20240111.0,11.5,433172.19129642856
밤,용산구,20240111.0,11.5,257768.64170238096
밤,은평구,20240111.0,11.5,460218.2903720238
밤,종로구,20240111.0,11.5,215906.21746369047
밤,중구,20240111.0,11.5,184559.19985535715
밤,중랑구,20240111.0,11.5,368300.5703279762
새벽,강남구,20240111.0,5.0,669812.3228650793
새벽,강동구,20240111.0,5.0,542356.3998095238
새벽,강북구,20240111.0,5.0,295803.8753904762
새벽,강서구,20240111.0,5.0,559908.0384301587
새벽,관악구,20240111.0,5.0,502361.442647619
새벽,광진구,20240111.0,5.0,371860.14775079367
새벽,구로구,20240111.0,5.0,391217.56055714283
새벽,금천구,20240111.0,5.0,206646.1028793651
새벽,노원구,20240111.0,5.0,515845.37655873015
새벽,도봉구,20240111.0,5.0,282408.88730793656
새벽,동대문구,20240111.0,5.0,349763.27530317457
새벽,동작구,20240111.0,5.0,392861.6159507936
새벽,마포구,20240111.0,5.0,414991.82042698417
새벽,서대문구,20240111.0,5.0,347997.8988365079
새벽,서초구,20240111.0,5.0,477491.7592111111
새벽,성동구,20240111.0,5.0,328656.82318412693
새벽,성북구,20240111.0,5.0,437165.0728761905
새벽,송파구,20240111.0,5.0,748070.9093111111
새벽,양천구,20240111.0,5.0,391467.4225507937
새벽,영등포구,20240111.0,5.0,429281.8322460317
새벽,용산구,20240111.0,5.0,256982.53423492063
새벽,은평구,20240111.0,5.0,470020.57795396826
새벽,종로구,20240111.0,5.0,206418.386615873
새벽,중구,20240111.0,5.0,170416.95954761904
새벽,중랑구,20240111.0,5.0,375741.3622206349
오전,강남구,20240111.0,9.0,892032.5286266666
오전,강동구,20240111.0,9.0,498574.23113142856
오전,강북구,20240111.0,9.0,266733.80002380954
