년도,구분,인구,면적,인구밀도
2018,종로구,163026,23.91,6817
2018,중구,135633,9.96,13618
2018,용산구,245090,21.87,11209
2018,성동구,316463,16.86,18771
2018,광진구,371063,17.06,21746
2018,동대문구,364338,14.22,25630
2018,중랑구,408147,18.5,22067
2018,성북구,447687,24.57,18218
2018,강북구,322915,23.6,13683
2018,도봉구,341649,20.67,16531
2018,노원구,548160,35.44,15468
2018,은평구,487666,29.71,16415
2018,서대문구,323080,17.62,18331
2018,마포구,386359,23.85,16199
2018,양천구,468145,17.41,26894
2018,강서구,603611,41.44,14567
2018,구로구,438486,20.12,21793
2018,금천구,254021,13.02,19510
2018,영등포구,403600,24.55,16441
2018,동작구,409385,16.35,25032
2018,관악구,520040,29.57,17587
2018,서초구,438163,46.98,9326
2018,강남구,547453,39.5,13859
2018,송파구,673507,33.87,19883
2018,강동구,431920,24.59,17564
2019,종로구,161869,23.91,6769
2019,중구,136488,9.96,13704
2019,용산구,245185,21.87,11213
2019,성동구,308979,16.86,18327
2019,광진구,366972,17.06,21507
2019,동대문구,363023,14.22,25537
2019,중랑구,402024,18.5,21736
2019,성북구,454744,24.57,18505
2019,강북구,317695,23.6,13462
2019,도봉구,335631,20.66,16245
2019,노원구,537303,35.44,15162
2019,은평구,484546,29.71,16308
2019,서대문구,323171,17.63,18335
2019,마포구,385925,23.85,16180
2019,양천구,462285,17.41,26559
2019,강서구,598273,41.44,14438
2019,구로구,439371,20.12,21837
2019,금천구,251820,13.02,19341
2019,영등포구,400986,24.55,16334
2019,동작구,408912,16.35,25003
2019,관악구,517334,29.57,17496
2019,서초구,435107,46.98,9261
2019,강남구,550209,39.5,13929
2019,송파구,682741,33.87,20156
2019,강동구,440390,24.59,17909
2020,종로구,158996,23.91,6649
2020,중구,134635,9.96,13517
2020,용산구,244645,21.87,11188
2020,성동구,300505,16.86,17822
2020,광진구,360109,17.06,21105
2020,동대문구,357014,14.22,25114
2020,중랑구,399562,18.5,21603
2020,성북구,447056,24.58,18190
2020,강북구,311569,23.6,13202
2020,도봉구,327361,20.65,15852
2020,노원구,527032,35.44,14872
2020,은평구,484043,29.71,16292
2020,서대문구,322952,17.63,18322
2020,마포구,381858,23.85,16011
2020,양천구,457781,17.41,26301
2020,강서구,585901,41.44,14140
2020,구로구,432488,20.12,21496
2020,금천구,247835,13.02,19035
2020,영등포구,407367,24.55,16595
2020,동작구,401572,16.35,24555
2020,관악구,509803,29.57,17241
2020,서초구,429025,46.98,9132
2020,강남구,544055,39.5,13773
2020,송파구,673926,33.87,19896
2020,강동구,463998,24.59,18869
2021,종로구,153789,23.91,6431
2021,중구,131787,9.96,13231
2021,용산구,237285,21.87,10852
2021,성동구,292672,16.86,17359
2021,광진구,352627,17.06,20666
2021,동대문구,352006,14.22,24762
2021,중랑구,391885,18.5,21188
2021,성북구,440142,24.58,17909
2021,강북구,302563,23.6,12820
2021,도봉구,319373,20.65,15465
2021,노원구,514946,35.44,14530
2021,은평구,477173,29.71,16061
2021,서대문구,315659,17.63,17908
2021,마포구,378686,23.85,15878
2021,양천구,450487,17.41,25882
2021,강서구,579768,41.45,13986
2021,구로구,421163,20.12,20933
2021,금천구,244891,13.02,18808
2021,영등포구,400908,24.55,16331
2021,동작구,394364,16.36,24113
2021,관악구,499449,29.57,16891
2021,서초구,416167,46.98,8858
2021,강남구,537800,39.5,13616
2021,송파구,663965,33.88,19599
2021,강동구,466472,24.59,18970
2022,종로구,152211,23.91,6365
2022,중구,130785,9.96,13131
2022,용산구,233284,21.87,10668
2022,성동구,288234,16.82,17136
2022,광진구,351252,17.06,20586
2022,동대문구,353601,14.22,24873
2022,중랑구,390140,18.5,21092
2022,성북구,441984,24.58,17983
2022,강북구,297702,23.6,12614
2022,도봉구,313989,20.65,15205
2022,노원구,508014,35.44,14335
2022,은평구,470602,29.71,15838
2022,서대문구,319554,17.63,18129
2022,마포구,375585,23.85,15745
2022,양천구,444010,17.41,25509
2022,강서구,574638,41.45,13862
2022,구로구,418418,20.12,20794
2022,금천구,242818,13.02,18649
2022,영등포구,398085,24.55,16215
2022,동작구,390432,16.36,23870
2022,관악구,501226,29.57,16951
2022,서초구,408451,46.97,8696
2022,강남구,534103,39.5,13522
2022,송파구,664514,33.88,19616
2022,강동구,464037,24.59,18871
